ID;guild;interactions.recorded;species;genus;family;order;nesting;nesting.comments;nesting.ref;adult.functional.group;larval.food.requirements;larval.food.requirements.comments;larval.food.requirements.ref
Acrididae;herbivores;60;NA;NA;Acrididae;Orthoptera;soil;orthoptera eggs are mostly laid in soil;https://www.sciencedirect.com/science/article/pii/B978012374144800196X;grasshopper;folivore;;https://doi.org/10.1007/bf00345192
Aelia_spp;herbivores;172;NA;Aelia;Pentatomidae;Hemiptera;plant;at least some species - no other behaviour found;https://antropocene.it/en/2020/04/18/aelia-rostrata/;hemipteran;mucivore;;https://en.wikipedia.org/wiki/Aelia_acuminata
Agriotes_spp;herbivores;77;NA;Agriotes;Elateridae;Coleoptera;soil;;https://en.wikipedia.org/wiki/Agriotes_sputator;beetle;root_feeder;underground plant tissue;http://www.agrologica.es/informacion-plaga/gusano-alambre-agriotes-spp/
Aiolopus_strepens;herbivores;116;strepens;Aiolopus;Acrididae;Orthoptera;soil;;https://www.researchgate.net/publication/304263760_Life_cycle_of_Aiolopus_strepens_Latreille_1804_Orthoptera_Acrididae_in_different_habitats_Mitija_Algeria;grasshopper;folivore;;https://doi.org/10.2307/3503485
Aleyrodidae;herbivores;4;NA;NA;Aleyrodidae;Hemiptera;plant;;https://en.wikipedia.org/wiki/Whitefly;hemipteran;mucivore;;https://doi.org/10.1371/journal.pone.0077368
Anthaxia_semicuprea;herbivores;4;semicuprea;Anthaxia;Buprestidae;Coleoptera;plant;anecdotal observations from a related species;http://kwast-buprestidae.blogspot.com/p/sicily-june-2016.html;beetle;xylophage;genus level;https://es.wikipedia.org/wiki/Anthaxia_hungarica
Aphis_fabae;herbivores;348;fabae;Aphis;Aphididae;Hemiptera;plant;;https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-3059.1978.tb01081.x;hemipteran;mucivore;;
Brassicogethes_spp;herbivores;3076;NA;Brassicogethes;Nitidulidae;Coleoptera;plant;at least b. aeneus, no other behaviour found;https://en.wikipedia.org/wiki/Brassicogethes_aeneus;beetle;palynivore;"B. aeneus is palynivore; feed on flowers at the genus level, can be recall to phytophilous";https://en.wikipedia.org/wiki/Brassicogethes_aeneus
Bruchidae;herbivores;5;NA;NA;Bruchidae;Coleoptera;plant;;https://www.ars.usda.gov/is/np/Bruchidae/BruchidaeVol1.pdf;beetle;granivore;;https://en.wikipedia.org/wiki/Bean_weevil
Cantharis_coronata;herbivores;70;coronata;Cantharis;Cantharidae;Coleoptera;soil;;https://www.naturalezaparatodos.es/2015/11/03/cantaris-coronata/;beetle;entomophage;species level;http://www.guiavisual-gorosti.org/galeria/categories.php?cat_id=9451
Cantharis_spp;herbivores;2;NA;Cantharis;Cantharidae;Coleoptera;soil;as in c. coronata - no other behaviour found;;beetle;entomophage;genus level;https://doi.org/10.1078/0031-4056-00179
Cassida_spp;herbivores;4;NA;Cassida;Chrysomelidae;Coleoptera;plant;at least two sp lay eggs on plants;https://www.ukbeetles.co.uk/cassida-viridis;beetle;folivore;genus level, feeding on leaves;http://www.agrologica.es/informacion-plaga/casida-alcachofa-cassida-deflorata/
Centrocoris_spp;herbivores;1;NA;Centrocoris;Coreidae;Hemiptera;plant;;;hemipteran;mucivore;;https://en.wikipedia.org/wiki/Bothrostethus_annulipes
Cercopoidea;herbivores;2;NA;NA;Cercopoidea;Hemiptera;plant;general behaviour;https://www.lib.ncsu.edu/specialcollections/digital/metcalf/spittlebugs.html;hemipteran;mucivore;family level, feeding on xylem;https://en.wikipedia.org/wiki/Froghopper
Cicadidae;herbivores;1;NA;NA;Cicadidae;Hemiptera;plant;;https://en.wikipedia.org/wiki/Cicadidae;hemipteran;root_feeder;feeding on roots, family level;
