"year";"plot";"guilds";"intraguild.type";"metric";"value"
2019;1;"plants";"mean_field";"richness";14
2020;1;"plants";"mean_field";"richness";14
2019;2;"plants";"mean_field";"richness";14
2020;2;"plants";"mean_field";"richness";14
2019;3;"plants";"mean_field";"richness";14
2020;3;"plants";"mean_field";"richness";14
2019;4;"plants";"mean_field";"richness";10
2020;4;"plants";"mean_field";"richness";10
2019;5;"plants";"mean_field";"richness";12
2020;5;"plants";"mean_field";"richness";12
2019;6;"plants";"mean_field";"richness";9
2020;6;"plants";"mean_field";"richness";9
2019;7;"plants";"mean_field";"richness";17
2020;7;"plants";"mean_field";"richness";17
2019;8;"plants";"mean_field";"richness";16
2020;8;"plants";"mean_field";"richness";16
2019;9;"plants";"mean_field";"richness";16
2020;9;"plants";"mean_field";"richness";16
2019;1;"floral visitors";"mean_field";"richness";10
2020;1;"floral visitors";"mean_field";"richness";15
2019;2;"floral visitors";"mean_field";"richness";8
2020;2;"floral visitors";"mean_field";"richness";15
2019;3;"floral visitors";"mean_field";"richness";9
2020;3;"floral visitors";"mean_field";"richness";14
2019;4;"floral visitors";"mean_field";"richness";9
2020;4;"floral visitors";"mean_field";"richness";5
2019;5;"floral visitors";"mean_field";"richness";7
2020;5;"floral visitors";"mean_field";"richness";5
2019;6;"floral visitors";"mean_field";"richness";9
2020;6;"floral visitors";"mean_field";"richness";2
2019;7;"floral visitors";"mean_field";"richness";17
2020;7;"floral visitors";"mean_field";"richness";11
2019;8;"floral visitors";"mean_field";"richness";20
2020;8;"floral visitors";"mean_field";"richness";19
2019;9;"floral visitors";"mean_field";"richness";10
2020;9;"floral visitors";"mean_field";"richness";16
2019;1;"herbivores";"mean_field";"richness";18
2020;1;"herbivores";"mean_field";"richness";18
2019;2;"herbivores";"mean_field";"richness";15
2020;2;"herbivores";"mean_field";"richness";19
2019;3;"herbivores";"mean_field";"richness";15
2020;3;"herbivores";"mean_field";"richness";19
2019;4;"herbivores";"mean_field";"richness";15
2020;4;"herbivores";"mean_field";"richness";16
2019;5;"herbivores";"mean_field";"richness";16
2020;5;"herbivores";"mean_field";"richness";15
2019;6;"herbivores";"mean_field";"richness";19
2020;6;"herbivores";"mean_field";"richness";19
2019;7;"herbivores";"mean_field";"richness";14
2020;7;"herbivores";"mean_field";"richness";16
2019;8;"herbivores";"mean_field";"richness";15
2020;8;"herbivores";"mean_field";"richness";17
2019;9;"herbivores";"mean_field";"richness";19
2020;9;"herbivores";"mean_field";"richness";18
2019;1;"plants-floral visitors";"mean_field";"richness";24
2020;1;"plants-floral visitors";"mean_field";"richness";29
2019;2;"plants-floral visitors";"mean_field";"richness";22
2020;2;"plants-floral visitors";"mean_field";"richness";29
2019;3;"plants-floral visitors";"mean_field";"richness";23
2020;3;"plants-floral visitors";"mean_field";"richness";28
2019;4;"plants-floral visitors";"mean_field";"richness";19
2020;4;"plants-floral visitors";"mean_field";"richness";15
2019;5;"plants-floral visitors";"mean_field";"richness";19
2020;5;"plants-floral visitors";"mean_field";"richness";17
2019;6;"plants-floral visitors";"mean_field";"richness";18
2020;6;"plants-floral visitors";"mean_field";"richness";11
2019;7;"plants-floral visitors";"mean_field";"richness";34
2020;7;"plants-floral visitors";"mean_field";"richness";28
2019;8;"plants-floral visitors";"mean_field";"richness";36
2020;8;"plants-floral visitors";"mean_field";"richness";35
2019;9;"plants-floral visitors";"mean_field";"richness";26
2020;9;"plants-floral visitors";"mean_field";"richness";32
2019;1;"plants-herbivores";"mean_field";"richness";32
2020;1;"plants-herbivores";"mean_field";"richness";32
2019;2;"plants-herbivores";"mean_field";"richness";29
2020;2;"plants-herbivores";"mean_field";"richness";33
2019;3;"plants-herbivores";"mean_field";"richness";29
2020;3;"plants-herbivores";"mean_field";"richness";33
2019;4;"plants-herbivores";"mean_field";"richness";25
2020;4;"plants-herbivores";"mean_field";"richness";26
2019;5;"plants-herbivores";"mean_field";"richness";28
2020;5;"plants-herbivores";"mean_field";"richness";27
2019;6;"plants-herbivores";"mean_field";"richness";28
2020;6;"plants-herbivores";"mean_field";"richness";28
2019;7;"plants-herbivores";"mean_field";"richness";31
2020;7;"plants-herbivores";"mean_field";"richness";33
2019;8;"plants-herbivores";"mean_field";"richness";31
2020;8;"plants-herbivores";"mean_field";"richness";33
2019;9;"plants-herbivores";"mean_field";"richness";35
2020;9;"plants-herbivores";"mean_field";"richness";34
2019;1;"all";"mean_field";"richness";42
2020;1;"all";"mean_field";"richness";47
2019;2;"all";"mean_field";"richness";37
2020;2;"all";"mean_field";"richness";48
2019;3;"all";"mean_field";"richness";38
2020;3;"all";"mean_field";"richness";47
2019;4;"all";"mean_field";"richness";34
2020;4;"all";"mean_field";"richness";31
2019;5;"all";"mean_field";"richness";35
2020;5;"all";"mean_field";"richness";32
2019;6;"all";"mean_field";"richness";37
2020;6;"all";"mean_field";"richness";30
2019;7;"all";"mean_field";"richness";48
2020;7;"all";"mean_field";"richness";44
2019;8;"all";"mean_field";"richness";51
2020;8;"all";"mean_field";"richness";52
2019;9;"all";"mean_field";"richness";45
2020;9;"all";"mean_field";"richness";50
2019;1;"plants";"nesting_larvae";"richness";14
2020;1;"plants";"nesting_larvae";"richness";14
2019;2;"plants";"nesting_larvae";"richness";14
2020;2;"plants";"nesting_larvae";"richness";14
2019;3;"plants";"nesting_larvae";"richness";14
2020;3;"plants";"nesting_larvae";"richness";14
2019;4;"plants";"nesting_larvae";"richness";10
2020;4;"plants";"nesting_larvae";"richness";10
2019;5;"plants";"nesting_larvae";"richness";12
2020;5;"plants";"nesting_larvae";"richness";12
2019;6;"plants";"nesting_larvae";"richness";9
2020;6;"plants";"nesting_larvae";"richness";9
2019;7;"plants";"nesting_larvae";"richness";17
2020;7;"plants";"nesting_larvae";"richness";17
2019;8;"plants";"nesting_larvae";"richness";16
2020;8;"plants";"nesting_larvae";"richness";16
2019;9;"plants";"nesting_larvae";"richness";16
2020;9;"plants";"nesting_larvae";"richness";16
2019;1;"floral visitors";"nesting_larvae";"richness";10
2020;1;"floral visitors";"nesting_larvae";"richness";15
2019;2;"floral visitors";"nesting_larvae";"richness";8
2020;2;"floral visitors";"nesting_larvae";"richness";15
2019;3;"floral visitors";"nesting_larvae";"richness";9
2020;3;"floral visitors";"nesting_larvae";"richness";14
2019;4;"floral visitors";"nesting_larvae";"richness";9
2020;4;"floral visitors";"nesting_larvae";"richness";5
2019;5;"floral visitors";"nesting_larvae";"richness";7
2020;5;"floral visitors";"nesting_larvae";"richness";5
2019;6;"floral visitors";"nesting_larvae";"richness";9
2020;6;"floral visitors";"nesting_larvae";"richness";2
2019;7;"floral visitors";"nesting_larvae";"richness";17
2020;7;"floral visitors";"nesting_larvae";"richness";11
2019;8;"floral visitors";"nesting_larvae";"richness";20
2020;8;"floral visitors";"nesting_larvae";"richness";19
2019;9;"floral visitors";"nesting_larvae";"richness";10
2020;9;"floral visitors";"nesting_larvae";"richness";16
2019;1;"herbivores";"nesting_larvae";"richness";18
2020;1;"herbivores";"nesting_larvae";"richness";18
2019;2;"herbivores";"nesting_larvae";"richness";15
2020;2;"herbivores";"nesting_larvae";"richness";19
2019;3;"herbivores";"nesting_larvae";"richness";15
2020;3;"herbivores";"nesting_larvae";"richness";19
2019;4;"herbivores";"nesting_larvae";"richness";15
2020;4;"herbivores";"nesting_larvae";"richness";16
2019;5;"herbivores";"nesting_larvae";"richness";16
2020;5;"herbivores";"nesting_larvae";"richness";15
2019;6;"herbivores";"nesting_larvae";"richness";19
2020;6;"herbivores";"nesting_larvae";"richness";19
2019;7;"herbivores";"nesting_larvae";"richness";14
2020;7;"herbivores";"nesting_larvae";"richness";16
2019;8;"herbivores";"nesting_larvae";"richness";15
2020;8;"herbivores";"nesting_larvae";"richness";17
2019;9;"herbivores";"nesting_larvae";"richness";19
2020;9;"herbivores";"nesting_larvae";"richness";18
2019;1;"plants-floral visitors";"nesting_larvae";"richness";24
2020;1;"plants-floral visitors";"nesting_larvae";"richness";29
2019;2;"plants-floral visitors";"nesting_larvae";"richness";22
2020;2;"plants-floral visitors";"nesting_larvae";"richness";29
2019;3;"plants-floral visitors";"nesting_larvae";"richness";23
2020;3;"plants-floral visitors";"nesting_larvae";"richness";28
2019;4;"plants-floral visitors";"nesting_larvae";"richness";19
2020;4;"plants-floral visitors";"nesting_larvae";"richness";15
2019;5;"plants-floral visitors";"nesting_larvae";"richness";19
2020;5;"plants-floral visitors";"nesting_larvae";"richness";17
2019;6;"plants-floral visitors";"nesting_larvae";"richness";18
2020;6;"plants-floral visitors";"nesting_larvae";"richness";11
2019;7;"plants-floral visitors";"nesting_larvae";"richness";34
2020;7;"plants-floral visitors";"nesting_larvae";"richness";28
2019;8;"plants-floral visitors";"nesting_larvae";"richness";36
2020;8;"plants-floral visitors";"nesting_larvae";"richness";35
2019;9;"plants-floral visitors";"nesting_larvae";"richness";26
2020;9;"plants-floral visitors";"nesting_larvae";"richness";32
2019;1;"plants-herbivores";"nesting_larvae";"richness";32
2020;1;"plants-herbivores";"nesting_larvae";"richness";32
2019;2;"plants-herbivores";"nesting_larvae";"richness";29
2020;2;"plants-herbivores";"nesting_larvae";"richness";33
2019;3;"plants-herbivores";"nesting_larvae";"richness";29
2020;3;"plants-herbivores";"nesting_larvae";"richness";33
2019;4;"plants-herbivores";"nesting_larvae";"richness";25
2020;4;"plants-herbivores";"nesting_larvae";"richness";26
2019;5;"plants-herbivores";"nesting_larvae";"richness";28
2020;5;"plants-herbivores";"nesting_larvae";"richness";27
2019;6;"plants-herbivores";"nesting_larvae";"richness";28
2020;6;"plants-herbivores";"nesting_larvae";"richness";28
2019;7;"plants-herbivores";"nesting_larvae";"richness";31
2020;7;"plants-herbivores";"nesting_larvae";"richness";33
