"year";"plot";"guilds";"intraguild.type";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI"
2019;1;"all";"mean_field";"BEMA";3,00390440874579e-34;0;2,05360330868642e-33
2019;1;"all";"mean_field";"CETE";0;0;0
2019;1;"all";"mean_field";"CHFU";0;0;0
2019;1;"all";"mean_field";"CHMI";0;0;0
2019;1;"all";"mean_field";"HOMA";1,90395069637721e-23;0;1,54519405736174e-22
2019;1;"all";"mean_field";"LEMA";0;0;0
2019;1;"all";"mean_field";"MESP";0;0;0
2019;1;"all";"mean_field";"PAIN";0,00820595196926931;1,23211038044975e-31;0,0933625373389044
2019;1;"all";"mean_field";"PLCO";4,03091879836443e-23;0;3,86139193063213e-22
2019;1;"all";"mean_field";"POMA";0;0;0
2019;1;"all";"mean_field";"PUPA";0;0;0
2019;1;"all";"mean_field";"SASO";2,7601856692522e-16;8,28454032196732e-27;2,65821301209953e-15
2019;1;"all";"mean_field";"SCLA";2,46211549832417e-56;0;3,3059194628301e-55
2019;1;"all";"mean_field";"SOAS";4,75004655075663e-12;0;5,74271274814897e-11
2019;1;"all";"mean_field";"Aelia_spp";0,0322335214128255;2,14104941076269e-32;0,504327198165077
2019;1;"all";"mean_field";"Aiolopus_strepens";7,02136553346552e-47;0;6,00802874657738e-46
2019;1;"all";"mean_field";"Anthaxia_semicuprea";0;0;0
2019;1;"all";"mean_field";"Aphis_fabae";0;0;0
2019;1;"all";"mean_field";"Brassicogethes_spp";0;0;0
2019;1;"all";"mean_field";"Cantharis_coronata";0;0;0
2019;1;"all";"mean_field";"Cochlicella_barbara";0;0;0
2019;1;"all";"mean_field";"Conocephalus_dorsalis";0;0;0
2019;1;"all";"mean_field";"Dociostaurus_jagoi";0,0431265219137183;1,63979836118339e-21;0,655918237338726
2019;1;"all";"mean_field";"Gryllus_bimaculatus";0;0;0
2019;1;"all";"mean_field";"Lasiocampa_trifolii_caterpillar";5,07122216496572e-25;2,06766583421559e-53;4,85925665587637e-24
2019;1;"all";"mean_field";"Lepidoptera_caterpillar";0;0;0
2019;1;"all";"mean_field";"Malachius_bipustulatus";3,20089804085502e-24;0;2,76958028933231e-23
2019;1;"all";"mean_field";"Mordellidae";0;0;0
2019;1;"all";"mean_field";"Oedemeridae";2,72306619000383e-14;8,95546888363341e-68;2,89984343328814e-13
2019;1;"all";"mean_field";"Psilothrix_viridicoerulea";2,7481361451355e-18;4,27669091255635e-46;2,51498519964789e-17
2019;1;"all";"mean_field";"Tessellana_tessellata";0,324608440846746;2,60085538566278e-14;0,999994679082074
2019;1;"all";"mean_field";"Theba_pisana";1,12895429949797e-31;7,26336230381149e-46;1,51720535992219e-30
2019;1;"all";"mean_field";"Andrena_cinerea";0;0;0
2019;1;"all";"mean_field";"Colias_croceus";3,34038682271639e-09;0;3,3135655175883e-08
2019;1;"all";"mean_field";"Dilophus_spp";0,591820267770106;8,76377441443465e-16;0,999999999058303
2019;1;"all";"mean_field";"Empis_tesellata";0;0;0
2019;1;"all";"mean_field";"Eupeodes_corollae";4,91098531232456e-06;1,58213956837522e-19;5,47263933658579e-05
2019;1;"all";"mean_field";"Melanopangonius_spp";0;0;0
2019;1;"all";"mean_field";"Musca_spp";2,20510444620875e-13;4,21575833481603e-25;1,65405495294262e-12
2019;1;"all";"mean_field";"Odontomyia_spp";3,79441585535288e-07;1,52952337126407e-25;2,74578002947082e-06
2019;1;"all";"mean_field";"Scaeva_spp";2,31505165356742e-09;1,04875978155385e-27;3,22245666152955e-08
2019;1;"all";"mean_field";"Sphaerophoria_scripta";0;0;0
2019;1;"all";"mean_field";"BEMA";0;0;0
2019;1;"all";"mean_field";"CETE";0;0;0
2019;1;"all";"mean_field";"CHFU";0;0;0
2019;1;"all";"mean_field";"CHMI";0;0;0
2019;1;"all";"mean_field";"HOMA";0;0;0
2019;1;"all";"mean_field";"LEMA";0;0;0
2019;1;"all";"mean_field";"MESP";0;0;0
2019;1;"all";"mean_field";"PAIN";0;0;0
2019;1;"all";"mean_field";"PLCO";0;0;0
2019;1;"all";"mean_field";"POMA";0;0;0
2019;1;"all";"mean_field";"PUPA";0;0;0
2019;1;"all";"mean_field";"SASO";0;0;0
2019;1;"all";"mean_field";"SCLA";1,04198255467131e-32;0;1,71227044627045e-31
2019;1;"all";"mean_field";"SOAS";0;0;0
2019;1;"all";"mean_field";"Aelia_spp";3,33769667047889e-33;0;5,64543854802888e-32
2019;1;"all";"mean_field";"Aiolopus_strepens";0;0;0
2019;1;"all";"mean_field";"Anthaxia_semicuprea";0;0;0
2019;1;"all";"mean_field";"Aphis_fabae";0;0;0
2019;1;"all";"mean_field";"Brassicogethes_spp";0;0;0
2019;1;"all";"mean_field";"Cantharis_coronata";0;0;0
2019;1;"all";"mean_field";"Cochlicella_barbara";0;0;0
2019;1;"all";"mean_field";"Conocephalus_dorsalis";0;0;0
2019;1;"all";"mean_field";"Dociostaurus_jagoi";0;0;0
