"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"BEMA";0,000190857510860542;1,68020823658417e-05;0,000723114544375195;2019;1;"all";"mean_field"
"CETE";0,000455196560830696;3,14227742202237e-07;0,00212738934014212;2019;1;"all";"mean_field"
"CHFU";0,00228437445168638;5,53249504454886e-05;0,0108053665808338;2019;1;"all";"mean_field"
"CHMI";7,68578473323289e-06;5,50161358778469e-07;3,59605342143566e-05;2019;1;"all";"mean_field"
"HOMA";0,00702909587062486;0,000803853459788598;0,0276039413683318;2019;1;"all";"mean_field"
"LEMA";0,00183230571240646;1,3837902695951e-05;0,00945232382939494;2019;1;"all";"mean_field"
"MESP";0,00144281174744305;1,99806400014256e-06;0,00706685679102153;2019;1;"all";"mean_field"
"PAIN";0,00824254052993065;0,000351930751072638;0,0417315085452434;2019;1;"all";"mean_field"
"PLCO";4,93727331130855e-05;1,21585466015568e-06;0,000254445033130459;2019;1;"all";"mean_field"
"POMA";0,0263582065431464;2,25837750254974e-06;0,148995343606451;2019;1;"all";"mean_field"
"PUPA";0,000314970728774384;5,47330674778719e-06;0,00144971464127743;2019;1;"all";"mean_field"
"SASO";6,78468556947743e-05;9,15565700420863e-07;0,000353448446281279;2019;1;"all";"mean_field"
"SCLA";0,480287334030355;6,70944855253534e-06;0,893696810473157;2019;1;"all";"mean_field"
"SOAS";4,28447132131062e-05;2,73604664296648e-06;0,000185841910800671;2019;1;"all";"mean_field"
"Aelia_spp";8,15820278956663e-05;5,10652147079356e-06;0,000350508726932881;2019;1;"all";"mean_field"
"Aiolopus_strepens";3,22991610042718e-05;2,72106112417096e-06;0,000131928088059963;2019;1;"all";"mean_field"
"Anthaxia_semicuprea";0,00380920357254781;4,42296844041766e-06;0,019205008015166;2019;1;"all";"mean_field"
"Aphis_fabae";0,000579293965442592;7,15251236562079e-05;0,00239182058212782;2019;1;"all";"mean_field"
"Brassicogethes_spp";2,1431777998514e-05;3,18577290472152e-06;9,01403896134818e-05;2019;1;"all";"mean_field"
"Cantharis_coronata";0,0485411952088974;1,8726053278883e-05;0,255203872605566;2019;1;"all";"mean_field"
"Cochlicella_barbara";0,00976620064639639;0,00126775451592502;0,0392882400575635;2019;1;"all";"mean_field"
"Conocephalus_dorsalis";0,000539099017897728;1,15373556056846e-05;0,00239210763731432;2019;1;"all";"mean_field"
"Dociostaurus_jagoi";0,000229330534586833;1,59790189763674e-05;0,00108200597160026;2019;1;"all";"mean_field"
"Gryllus_bimaculatus";0,000267702930751138;1,75625582135096e-05;0,00108829448555425;2019;1;"all";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,00509864291735976;8,48556371579027e-05;0,0226635511693462;2019;1;"all";"mean_field"
"Lepidoptera_caterpillar";0,0953689334887258;4,33257069589677e-05;0,456270719319575;2019;1;"all";"mean_field"
"Malachius_bipustulatus";0,000560697018904265;4,94497242025282e-06;0,00262048578571113;2019;1;"all";"mean_field"
"Mordellidae";0,00160116627644558;4,49272512633252e-06;0,00841127770658425;2019;1;"all";"mean_field"
"Oedemeridae";0,000657741630687288;1,37610869727277e-05;0,00283469000017538;2019;1;"all";"mean_field"
"Psilothrix_viridicoerulea";0,000830566742081955;9,13384673486173e-05;0,00349569587619043;2019;1;"all";"mean_field"
"Tessellana_tessellata";0,00355143936196852;4,72069651291404e-05;0,0201236817285628;2019;1;"all";"mean_field"
"Theba_pisana";0,00133184062075743;3,99174935667811e-05;0,0062239522378804;2019;1;"all";"mean_field"
"Andrena_cinerea";0,00217772877990584;9,65499925867391e-06;0,0107944423553375;2019;1;"all";"mean_field"
"Colias_croceus";0,00768723111084044;7,46910546482756e-05;0,0331285859830385;2019;1;"all";"mean_field"
"Dilophus_spp";0,00810478425011028;0,00120593779246043;0,0349928278331177;2019;1;"all";"mean_field"
"Empis_tesellata";0,0404277457908581;0,00237622859642764;0,161851585323384;2019;1;"all";"mean_field"
"Eupeodes_corollae";0,000113132393998111;1,18564535398313e-05;0,000471397158785215;2019;1;"all";"mean_field"
"Melanopangonius_spp";0,000134484149406241;1,1332351683051e-05;0,000556518193189889;2019;1;"all";"mean_field"
"Musca_spp";0,183002083454033;0,00610947243665605;0,637869075791503;2019;1;"all";"mean_field"
"Odontomyia_spp";0,0566149503967959;0,0020028410528329;0,263251287058885;2019;1;"all";"mean_field"
"Scaeva_spp";9,42765469670158e-05;2,4137012506922e-06;0,000499544410932224;2019;1;"all";"mean_field"
"Sphaerophoria_scripta";0,00016977245392393;2,53153258507224e-05;0,000662014271844203;2019;1;"all";"mean_field"
"Andrena_cinerea";0,100426155487995;0,0987856066102647;0,1019304167925;2019;1;"floral visitors";"mean_field"
"Colias_croceus";0,10152430653388;0,099933859251352;0,103220261503462;2019;1;"floral visitors";"mean_field"
"Dilophus_spp";0,0997953884391869;0,0982532346593766;0,101236651086211;2019;1;"floral visitors";"mean_field"
"Empis_tesellata";0,0993015105325281;0,0978908053428068;0,100801671669816;2019;1;"floral visitors";"mean_field"
"Eupeodes_corollae";0,0998325502012891;0,098281485821928;0,101336312548063;2019;1;"floral visitors";"mean_field"
"Melanopangonius_spp";0,100856247763199;0,0993843743592516;0,102306049785733;2019;1;"floral visitors";"mean_field"
"Musca_spp";0,0987017340322993;0,0973328104807068;0,100112594829338;2019;1;"floral visitors";"mean_field"
"Odontomyia_spp";0,0997404572116581;0,0982092685145486;0,101240692401934;2019;1;"floral visitors";"mean_field"
"Scaeva_spp";0,0994845062470852;0,0980120104801117;0,100857243610615;2019;1;"floral visitors";"mean_field"
"Sphaerophoria_scripta";0,100337143550879;0,0986750479058593;0,101876857371559;2019;1;"floral visitors";"mean_field"
"Aelia_spp";0,0645775040480174;0,00554750274351712;0,224034013151889;2019;1;"herbivores";"mean_field"
"Aiolopus_strepens";0,0295383968412039;0,00454946657442179;0,0899699369152796;2019;1;"herbivores";"mean_field"
"Anthaxia_semicuprea";0,028331988198816;0,0049081695210659;0,0847419612280216;2019;1;"herbivores";"mean_field"
"Aphis_fabae";0,0105802437670631;0,00210068254261483;0,0308336059309685;2019;1;"herbivores";"mean_field"
"Brassicogethes_spp";0,0184579504768031;0,00295788329290386;0,05611400023034;2019;1;"herbivores";"mean_field"
"Cantharis_coronata";0,494683165731555;0,0104198628534762;0,885690114700876;2019;1;"herbivores";"mean_field"
"Cochlicella_barbara";0,0115265289432403;0,00155495263334002;0,0412661497379432;2019;1;"herbivores";"mean_field"
"Conocephalus_dorsalis";0,0144413291566718;0,00207254424204413;0,0452208921093242;2019;1;"herbivores";"mean_field"
"Dociostaurus_jagoi";0,0212645586548888;0,00345484022634585;0,0655558829147342;2019;1;"herbivores";"mean_field"
"Gryllus_bimaculatus";0,015392911770505;0,0030626931405505;0,045009356812056;2019;1;"herbivores";"mean_field"
"Lasiocampa_trifolii_caterpillar";0,0433305047479061;0,00349037624304274;0,178989896675743;2019;1;"herbivores";"mean_field"
"Lepidoptera_caterpillar";0,0524129850470154;0,00642483538790095;0,1807699058448;2019;1;"herbivores";"mean_field"
"Malachius_bipustulatus";0,0379534111514739;0,00606899248756667;0,120828028225244;2019;1;"herbivores";"mean_field"
"Mordellidae";0,0346523023408908;0,00627450599541372;0,106516033694633;2019;1;"herbivores";"mean_field"
"Oedemeridae";0,0158167411366441;0,00262641482780756;0,0473573386105866;2019;1;"herbivores";"mean_field"
"Psilothrix_viridicoerulea";0,0749295865778378;0,00297288085531293;0,308921222122604;2019;1;"herbivores";"mean_field"
