"species";"min_R";"max_R";"year";"plot";"guilds";"intraguild.type";"sp.guild";"guild.num"
"BEMA";0,201688791365511;0,399160690783619;"2019";1;"Plants";"Mean field";"Plants";"one"
"CETE";0,202368772955586;0,425181329941109;"2019";1;"Plants";"Mean field";"Plants";"one"
"CHFU";0,202271920888574;0,415259305488181;"2019";1;"Plants";"Mean field";"Plants";"one"
"CHMI";0,202691057023682;0,419990599951387;"2019";1;"Plants";"Mean field";"Plants";"one"
"HOMA";0,201372712546681;0,411117388581126;"2019";1;"Plants";"Mean field";"Plants";"one"
"LEMA";0,200811215100543;0,404856731124633;"2019";1;"Plants";"Mean field";"Plants";"one"
"MESP";0,202305287988171;0,427566057852918;"2019";1;"Plants";"Mean field";"Plants";"one"
"PAIN";0,202109826108786;0,399995926604393;"2019";1;"Plants";"Mean field";"Plants";"one"
"PLCO";0,201975055138146;0,402621388191674;"2019";1;"Plants";"Mean field";"Plants";"one"
"POMA";0,201849583418703;0,419649558989388;"2019";1;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202132434715237;0,416853499091805;"2019";1;"Plants";"Mean field";"Plants";"one"
"SASO";0,202058083645081;0,392882834624347;"2019";1;"Plants";"Mean field";"Plants";"one"
"SCLA";0,201774267385614;0,454529201284288;"2019";1;"Plants";"Mean field";"Plants";"one"
"SOAS";0,201697159922885;0,40394110382294;"2019";1;"Plants";"Mean field";"Plants";"one"
"BEMA";0,0288980609173402;0,457458546820712;"2019";1;"Plants";"Resources";"Plants";"one"
"CETE";0,0375625559008969;0,462066234781445;"2019";1;"Plants";"Resources";"Plants";"one"
"CHFU";0,0172540318913567;0,558487381375691;"2019";1;"Plants";"Resources";"Plants";"one"
"CHMI";0,00632665707685608;0,718779795893985;"2019";1;"Plants";"Resources";"Plants";"one"
"HOMA";0,00178149114603654;0,266173386984785;"2019";1;"Plants";"Resources";"Plants";"one"
"LEMA";0,00447915699740586;0,357747813062009;"2019";1;"Plants";"Resources";"Plants";"one"
"MESP";0,00306497673067741;0,569944599940213;"2019";1;"Plants";"Resources";"Plants";"one"
"PAIN";0,00427972375735888;0,587801774881724;"2019";1;"Plants";"Resources";"Plants";"one"
"PLCO";0,0631895337134862;0,616879297690136;"2019";1;"Plants";"Resources";"Plants";"one"
"POMA";4,6147003967897e-05;0,54662913999435;"2019";1;"Plants";"Resources";"Plants";"one"
"PUPA";0,0745954906438035;0,653754689009608;"2019";1;"Plants";"Resources";"Plants";"one"
"SASO";0,0181638328549931;0,598933213653243;"2019";1;"Plants";"Resources";"Plants";"one"
"SCLA";0,0542546484926288;0,575348619232416;"2019";1;"Plants";"Resources";"Plants";"one"
"SOAS";0,0366097298723354;0,566758139046268;"2019";1;"Plants";"Resources";"Plants";"one"
"BEMA";0,0189211915236277;0,491818906191353;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0175572493378222;0,471644149248417;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,0118051794143288;0,555031050183211;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,00293298946101659;0,684665011734627;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00295047759901768;0,343210267739599;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,00514845108500876;0,413548921268136;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,00288180796602475;0,60430997347317;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,000794902033266118;0,575641415680062;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0488781171385512;0,637238156814715;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";0,000199918600208152;0,640468023746289;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,0512693810676952;0,681780498521419;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0149821306188333;0,666374741347124;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0472076391066571;0,619858737704967;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"SOAS";0,016912081251851;0,523171021935475;"2019";1;"Plants";"Resources and 
phenology";"Plants";"one"
"BEMA";0,202607489033801;0,408701774104785;"2020";1;"Plants";"Mean field";"Plants";"one"
"CETE";0,202191727954079;0,402165788360609;"2020";1;"Plants";"Mean field";"Plants";"one"
"CHFU";0,202011682060724;0,396835083540019;"2020";1;"Plants";"Mean field";"Plants";"one"
"CHMI";0,201572918991129;0,405948639622806;"2020";1;"Plants";"Mean field";"Plants";"one"
"HOMA";0,201521629767274;0,417989660832788;"2020";1;"Plants";"Mean field";"Plants";"one"
"LEMA";0,20221484090095;0,399549778721294;"2020";1;"Plants";"Mean field";"Plants";"one"
"MESP";0,202193393710515;0,403480889195458;"2020";1;"Plants";"Mean field";"Plants";"one"
"PAIN";0,202238785961815;0,414389201612927;"2020";1;"Plants";"Mean field";"Plants";"one"
"PLCO";0,202217700216807;0,386404584218775;"2020";1;"Plants";"Mean field";"Plants";"one"
"POMA";0,201879252365303;0,403479214832384;"2020";1;"Plants";"Mean field";"Plants";"one"
"PUPA";0,202695894602831;0,398192156339091;"2020";1;"Plants";"Mean field";"Plants";"one"
"SASO";0,203066089648185;0,416028428564041;"2020";1;"Plants";"Mean field";"Plants";"one"
"SCLA";0,201421413949037;0,423538653115146;"2020";1;"Plants";"Mean field";"Plants";"one"
"SOAS";0,201757267217883;0,397225317857819;"2020";1;"Plants";"Mean field";"Plants";"one"
"BEMA";0,0337877475568892;0,468651574759662;"2020";1;"Plants";"Resources";"Plants";"one"
"CETE";0,0239889819433915;0,457795993847278;"2020";1;"Plants";"Resources";"Plants";"one"
"CHFU";0,0211854997568186;0,553432893000375;"2020";1;"Plants";"Resources";"Plants";"one"
"CHMI";0,00169960535466206;0,684272067402715;"2020";1;"Plants";"Resources";"Plants";"one"
"HOMA";0,00248675388009826;0,274945511252058;"2020";1;"Plants";"Resources";"Plants";"one"
"LEMA";0,00639092262916998;0,36466077277861;"2020";1;"Plants";"Resources";"Plants";"one"
"MESP";0,00274940699998446;0,53288368982208;"2020";1;"Plants";"Resources";"Plants";"one"
"PAIN";0,0034855728218715;0,607896791758559;"2020";1;"Plants";"Resources";"Plants";"one"
"PLCO";0,0659166719452799;0,659741800188942;"2020";1;"Plants";"Resources";"Plants";"one"
"POMA";8,06908355020661e-05;0,565508251681369;"2020";1;"Plants";"Resources";"Plants";"one"
"PUPA";0,0700614770839972;0,618388328531667;"2020";1;"Plants";"Resources";"Plants";"one"
"SASO";0,0228474579492447;0,57799103394417;"2020";1;"Plants";"Resources";"Plants";"one"
"SCLA";0,0400323367021809;0,610523369468993;"2020";1;"Plants";"Resources";"Plants";"one"
"SOAS";0,0355495318616921;0,559169751251836;"2020";1;"Plants";"Resources";"Plants";"one"
"BEMA";0,0235915351299963;0,515219233384177;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CETE";0,0194380250953526;0,46066708743582;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CHFU";0,00550924580460296;0,566089701305718;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"CHMI";0,00956958181821676;0,703421023569117;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"HOMA";0,00180227246956402;0,32032310081551;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"LEMA";0,00460606710005842;0,433226464974411;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"MESP";0,00124061031347421;0,578618108903407;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PAIN";0,00140881751400593;0,546641967105704;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PLCO";0,0635343915184304;0,650641499667729;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"POMA";3,87388043580509e-05;0,567438021657376;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"PUPA";0,0489369025659863;0,641737838650121;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"SASO";0,0195377635488292;0,629662885687087;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
"SCLA";0,0531640319152373;0,596027328695794;"2020";1;"Plants";"Resources and 
phenology";"Plants";"one"
